,count
42436152,2692
42436155,2582
42431505,2209
12162436970,5618
42431151,3701
42436899,597
246648219,12251
42445766,13785
42437841,241
42438825,183
595245836,1066
42437845,1231
42438301,1375
42438300,1788
595245859,757
595245925,797
595245918,341
595245920,1060
42430747,1950
42431000,2925
42430989,4356
42431453,1229
42434352,4254
42431154,2554
42430390,12179
42428570,12513
42444049,7759
4137021568,1187
42434842,1563
42434839,1334
42438779,522
42438781,547
4143859865,3339
3788379733,5399
42430136,3265
5216470727,5180
42430143,4888
42430147,6228
42430154,9036
42430160,6863
42431617,1508
42431614,4223
13233711092,11284
4544455460,999
42428961,296
595352904,1191
42428958,1184
42428956,1087
561035370,850
42442651,770
42432985,788
